year,drug,intent,nature,sex,jurisdiction,age_group,n,pop,rate_ht,rate_ht_lcl,rate_ht_ucl,rate_m,rate_m_lcl,rate_m_ucl
2008,Amphetamines,Accidental,Any mention,All,AUS,15-24,12,2973974,0.40350050134937293,0.20849555079049062,0.7048333143614427,4.03500501349373,2.084955507904906,7.0483331436144265
2009,Amphetamines,Accidental,Any mention,All,AUS,15-24,13,3043814,0.4270957423811047,0.22741046816619948,0.7303462054565997,4.270957423811047,2.2741046816619948,7.303462054565997
2010,Amphetamines,Accidental,Any mention,All,AUS,15-24,11,3065102,0.35887875835779687,0.17915072562233259,0.642132319031965,3.5887875835779686,1.7915072562233259,6.42132319031965
2011,Amphetamines,Accidental,Any mention,All,AUS,15-24,6,3065122,0.1957507727261753,0.0718369807418168,0.42606716816569,1.9575077272617531,0.7183698074181679,4.2606716816569
2012,Amphetamines,Accidental,Any mention,All,AUS,15-24,16,3092512,0.517378752289401,0.29572652638567837,0.8401906878866541,5.17378752289401,2.9572652638567836,8.40190687886654
2013,Amphetamines,Accidental,Any mention,All,AUS,15-24,15,3118366,0.48102115017929264,0.2692238647454749,0.7933712603411264,4.810211501792926,2.692238647454749,7.933712603411264
2014,Amphetamines,Accidental,Any mention,All,AUS,15-24,16,3141184,0.5093620749373484,0.29114430468448427,0.827172105988612,5.093620749373484,2.911443046844843,8.27172105988612
2015,Amphetamines,Accidental,Any mention,All,AUS,15-24,18,3154845,0.5705510096375574,0.3381439838415732,0.9017170434711536,5.7055100963755745,3.381439838415732,9.017170434711536
2016,Amphetamines,Accidental,Any mention,All,AUS,15-24,23,3172488,0.7249830417010246,0.4595774032348113,1.087830992207701,7.249830417010246,4.595774032348113,10.87830992207701
1997,Amphetamines,All,Any mention,All,AUS,15-24,7,2619372,0.26723962843002064,0.10744398021446665,0.5506157770116091,2.6723962843002065,1.0744398021446664,5.506157770116092
1998,Amphetamines,All,Any mention,All,AUS,15-24,16,2592341,0.617202752261373,0.3527845416810624,1.0022986114009431,6.17202752261373,3.527845416810624,10.02298611400943
1999,Amphetamines,All,Any mention,All,AUS,15-24,20,2583566,0.7741238272991672,0.47285584328733254,1.1955714659156,7.741238272991672,4.728558432873325,11.955714659156001
2e3,Amphetamines,All,Any mention,All,AUS,15-24,25,2595640,0.9631535960302662,0.6233022954343124,1.4218047851429358,9.631535960302662,6.233022954343124,14.218047851429358
2001,Amphetamines,All,Any mention,All,AUS,15-24,12,2630115,0.4562538139967264,0.235754081919079,0.7969826229061304,4.5625381399672635,2.35754081919079,7.9698262290613044
2002,Amphetamines,All,Any mention,All,AUS,15-24,10,2667594,0.3748696390830089,0.17976455889468074,0.6893987023033316,3.748696390830089,1.7976455889468075,6.893987023033316
2003,Amphetamines,All,Any mention,All,AUS,15-24,10,2710380,0.36895195507640993,0.17692679945989012,0.6785158693143225,3.6895195507640994,1.7692679945989012,6.7851586931432255
2004,Amphetamines,All,Any mention,All,AUS,15-24,16,2748615,0.5821113542638747,0.3327267847865296,0.9453123789900486,5.821113542638747,3.327267847865296,9.453123789900486
2005,Amphetamines,All,Any mention,All,AUS,15-24,10,2794180,0.3578867503167298,0.1716206037979289,0.6581665611636163,3.578867503167298,1.716206037979289,6.581665611636163
2006,Amphetamines,All,Any mention,All,AUS,15-24,17,2841117,0.5983562098991347,0.3485644940323658,0.95802625728870106,5.983562098991348,3.485644940323658,9.58026257288701
2007,Amphetamines,All,Any mention,All,AUS,15-24,17,2903862,0.5854272689266914,0.34103291051425755,0.9373257703118476,5.854272689266914,3.4103291051425755,9.373257703118476
2008,Amphetamines,All,Any mention,All,AUS,15-24,13,2973974,0.4371255431284873,0.232750914012978,0.7474974579521121,4.371255431284872,2.3275091401297803,7.47497457952112
2009,Amphetamines,All,Any mention,All,AUS,15-24,15,3043814,0.49280277967050545,0.2758179528088404,0.8128032670934939,4.928027796705054,2.7581795280884043,8.128032670934939
2010,Amphetamines,All,Any mention,All,AUS,15-24,13,3065102,0.42412944169557815,0.22583103816800623,0.7252737445656539,4.241294416955782,2.2583103816800625,7.252737445656539
2011,Amphetamines,All,Any mention,All,AUS,15-24,6,3065122,0.1957507727261753,0.0718369807418168,0.42606716816569,1.9575077272617531,0.7183698074181679,4.2606716816569
2012,Amphetamines,All,Any mention,All,AUS,15-24,19,3092512,0.6143872683436636,0.36990217476597925,0.9594418620991939,6.143872683436636,3.6990217476597924,9.59441862099194
2013,Amphetamines,All,Any mention,All,AUS,15-24,15,3118366,0.48102115017929264,0.2692238647454749,0.7933712603411264,4.810211501792926,2.692238647454749,7.933712603411264
2014,Amphetamines,All,Any mention,All,AUS,15-24,17,3141184,0.5411972046209328,0.31526727170129254,0.8665091526091125,5.411972046209328,3.1526727170129254,8.665091526091125
2015,Amphetamines,All,Any mention,All,AUS,15-24,20,3154845,0.6339455662639527,0.3872311570357595,0.9790775109109016,6.339455662639527,3.8723115703575948,9.790775109109015
2016,Amphetamines,All,Any mention,All,AUS,15-24,23,3172488,0.7249830417010246,0.4595774032348113,1.087830992207701,7.249830417010246,4.595774032348113,10.87830992207701
1997,Amphetamines,All,Underlying,All,AUS,15-24,3,2619372,0.11453126932715169,0.02361906662662784,0.33470910540685866,1.1453126932715167,0.2361906662662784,3.3470910540685868
1998,Amphetamines,All,Underlying,All,AUS,15-24,3,2592341,0.11572551604900745,0.023865348651247432,0.3381992025153227,1.1572551604900745,0.2386534865124743,3.381992025153227
1999,Amphetamines,All,Underlying,All,AUS,15-24,1,2583566,0.038706191364958356,9.788628119111198e-4,0.2156570913045017,0.38706191364958353,0.009788628119111197,2.156570913045017
2e3,Amphetamines,All,Underlying,All,AUS,15-24,5,2595640,0.19263071920605324,0.06254664218066786,0.44953545060572375,1.9263071920605324,0.6254664218066786,4.495354506057238
2001,Amphetamines,All,Underlying,All,AUS,15-24,5,2630115,0.19010575583196931,0.06172679381313315,0.4436430334834183,1.9010575583196931,0.6172679381313315,4.436430334834183
2002,Amphetamines,All,Underlying,All,AUS,15-24,2,2667594,0.07497392781660178,0.009079479081874446,0.2708318057267887,0.7497392781660178,0.09079479081874446,2.708318057267887
2003,Amphetamines,All,Underlying,All,AUS,15-24,6,2710380,0.22137117304584597,0.0812392026525133,0.4818320127149537,2.21371173045846,0.812392026525133,4.818320127149537
2004,Amphetamines,All,Underlying,All,AUS,15-24,6,2748615,0.21829175784895302,0.08010911316620153,0.4751294199523601,2.1829175784895303,0.8010911316620153,4.751294199523601
2005,Amphetamines,All,Underlying,All,AUS,15-24,3,2794180,0.10736602509501893,0.02214142316812926,0.31376921273782443,1.0736602509501894,0.2214142316812926,3.1376921273782443
2006,Amphetamines,All,Underlying,All,AUS,15-24,4,2841117,0.14078969644685524,0.03836129073259195,0.36047754284041894,1.4078969644685524,0.3836129073259195,3.6047754284041895
2007,Amphetamines,All,Underlying,All,AUS,15-24,9,2903862,0.30993208354942486,0.14172095428877987,0.5883476752304168,3.0993208354942485,1.4172095428877987,5.883476752304167
2008,Amphetamines,All,Underlying,All,AUS,15-24,6,2973974,0.20175025067468647,0.07403868025924874,0.4391255103852139,2.017502506746865,0.7403868025924875,4.3912551038521395
2009,Amphetamines,All,Underlying,All,AUS,15-24,6,3043814,0.19712111186820216,0.07233987033548009,0.42904982059427943,1.9712111186820216,0.7233987033548008,4.290498205942795
2010,Amphetamines,All,Underlying,All,AUS,15-24,1,3065102,0.03262534166889063,8.250807573509672e-4,0.18177676591291456,0.32625341668890634,0.008250807573509671,1.8177676591291456
2011,Amphetamines,All,Underlying,All,AUS,15-24,2,3065122,0.06525025757539178,0.007901924922379528,0.2357065395654552,0.6525025757539178,0.07901924922379527,2.357065395654552
2012,Amphetamines,All,Underlying,All,AUS,15-24,2,3092512,0.06467234403617513,0.007831938541203327,0.23361891561486173,0.6467234403617512,0.07831938541203327,2.336189156148617
2013,Amphetamines,All,Underlying,All,AUS,15-24,7,3118366,0.22447653675033655,0.09025103318286817,0.4625074635441936,2.2447653675033656,0.9025103318286818,4.625074635441936
2014,Amphetamines,All,Underlying,All,AUS,15-24,5,3141184,0.1591756484179214,0.05168387662417378,0.3714625431080258,1.591756484179214,0.5168387662417377,3.714625431080258
2015,Amphetamines,All,Underlying,All,AUS,15-24,9,3154845,0.2852755048187787,0.13044637494486255,0.5415418053469975,2.8527550481877872,1.3044637494486255,5.415418053469975
2016,Amphetamines,All,Underlying,All,AUS,15-24,7,3172488,0.22064701269161616,0.08871136891371312,0.45461718028955594,2.2064701269161615,0.8871136891371312,4.546171802895559
1997,Amphetamines,Accidental,Underlying,All,AUS,25-34,3,2863015,0.10478464136583286,0.0216090805629462,0.3062253110262343,1.0478464136583285,0.21609080562946198,3.062253110262343
1998,Amphetamines,Accidental,Underlying,All,AUS,25-34,4,2860327,0.13984415068626768,0.03810365571569595,0.35805657013416387,1.3984415068626768,0.3810365571569595,3.5805657013416385
1999,Amphetamines,Accidental,Underlying,All,AUS,25-34,7,2857016,0.24501087848300462,0.09850688737561425,0.504816056004745,2.4501087848300465,0.9850688737561425,5.0481605600474495
2e3,Amphetamines,Accidental,Underlying,All,AUS,25-34,5,2855634,0.17509246633146966,0.0568520217611321,0.4086070543389807,1.7509246633146966,0.568520217611321,4.086070543389807
2001,Amphetamines,Accidental,Underlying,All,AUS,25-34,5,2851409,0.17535190497049002,0.05693626074331276,0.40921249705329565,1.7535190497049002,0.5693626074331276,4.092124970532956
2002,Amphetamines,Accidental,Underlying,All,AUS,25-34,8,2854494,0.28025982888736145,0.12099627539998511,0.552223585028148,2.8025982888736145,1.2099627539998512,5.522235850281479
2003,Amphetamines,Accidental,Underlying,All,AUS,25-34,1,2858260,0.03498632034874364,8.847888853771049e-4,0.19493129692652392,0.3498632034874364,0.008847888853771049,1.9493129692652391
2004,Amphetamines,Accidental,Underlying,All,AUS,25-34,7,2852818,0.2453714187165112,0.09865184296451014,0.5055589066889135,2.453714187165112,0.9865184296451014,5.055589066889135
2005,Amphetamines,Accidental,Underlying,All,AUS,25-34,12,2853071,0.4205994172595074,0.2173308505699993,0.734701642982161,4.205994172595074,2.173308505699993,7.34701642982161
2006,Amphetamines,Accidental,Underlying,All,AUS,25-34,9,2855732,0.3151556238470557,0.144109494085203,0.5982635824685049,3.151556238470557,1.44109494085203,5.982635824685048
2007,Amphetamines,Accidental,Underlying,All,AUS,25-34,5,2888102,0.17312407941270772,0.056212892172724065,0.40401349987301033,1.731240794127077,0.5621289217272406,4.040134998730103
2008,Amphetamines,Accidental,Underlying,All,AUS,25-34,8,2958352,0.2704208288939247,0.1167484944832816,0.5328368328452254,2.704208288939247,1.167484944832816,5.328368328452254
2009,Amphetamines,Accidental,Underlying,All,AUS,25-34,6,3053686,0.19648385590397965,0.07210600896271555,0.427662782166325,1.9648385590397965,0.7210600896271555,4.27662782166325
2010,Amphetamines,Accidental,Underlying,All,AUS,25-34,6,3125453,0.19197217171398837,0.07045030275141523,0.4178427417153149,1.9197217171398837,0.7045030275141523,4.178427417153149
2011,Amphetamines,Accidental,Underlying,All,AUS,25-34,8,3194331,0.2504436766258725,0.10812377995630545,0.4934738792320953,2.504436766258725,1.0812377995630547,4.934738792320953
2012,Amphetamines,Accidental,Underlying,All,AUS,25-34,9,3290393,0.27352355782424775,0.12507262620693788,0.51923294782415,2.7352355782424773,1.2507262620693789,5.1923294782415
2013,Amphetamines,Accidental,Underlying,All,AUS,25-34,12,3388170,0.35417349188499986,0.18300744861284957,0.618669060656566,3.5417349188499987,1.8300744861284957,6.18669060656566
2014,Amphetamines,Accidental,Underlying,All,AUS,25-34,20,3467570,0.5767727832459042,0.35230846950991057,0.8907787845406735,5.767727832459042,3.5230846950991057,8.907787845406736
2015,Amphetamines,Accidental,Underlying,All,AUS,25-34,19,3547607,0.5355722885877721,0.3224502923491492,0.8363625034689869,5.355722885877721,3.224502923491492,8.36362503468987
2016,Amphetamines,Accidental,Underlying,All,AUS,25-34,20,3614747,0.5532890683635674,0.33796397911623705,0.85451009155266,5.532890683635674,3.3796397911623703,8.5451009155266
1997,Amphetamines,Accidental,Any mention,All,AUS,25-34,13,2863015,0.4540667792519425,0.2417714076771628,0.7764674669939469,4.540667792519425,2.417714076771628,7.764674669939469
1998,Amphetamines,Accidental,Any mention,All,AUS,25-34,18,2860327,0.6292986780882046,0.37296150289902796,0.994563735548331,6.292986780882046,3.7296150289902794,9.94563735548331
1999,Amphetamines,Accidental,Any mention,All,AUS,25-34,33,2857016,1.1550512842770218,0.7950841570052193,1.6221219908428273,11.550512842770218,7.950841570052193,16.221219908428274
2e3,Amphetamines,Accidental,Any mention,All,AUS,25-34,47,2855634,1.6458691835158146,1.2093226948511773,2.1886570917345045,16.458691835158145,12.093226948511774,21.886570917345047
2001,Amphetamines,Accidental,Any mention,All,AUS,25-34,31,2851409,1.0871818108170381,0.7386872107440997,1.5431673781114807,10.87181810817038,7.386872107440997,15.431673781114807
2002,Amphetamines,Accidental,Any mention,All,AUS,25-34,26,2854494,0.9108444438839248,0.5949938181420895,1.3345985688913784,9.108444438839248,5.949938181420896,13.345985688913784
2003,Amphetamines,Accidental,Any mention,All,AUS,25-34,9,2858260,0.3148768831386928,0.14398203584100988,0.5977344457431963,3.1487688313869278,1.4398203584100988,5.977344457431963
2004,Amphetamines,Accidental,Any mention,All,AUS,25-34,24,2852818,0.8412734355994669,0.539019936854951,1.2517481914855706,8.412734355994669,5.39019936854951,12.517481914855706
2005,Amphetamines,Accidental,Any mention,All,AUS,25-34,25,2853071,0.876248785957307,0.5670620780629428,1.2935161348975928,8.76248785957307,5.670620780629428,12.935161348975928
2006,Amphetamines,Accidental,Any mention,All,AUS,25-34,33,2855732,1.1555706207725374,0.7954416443526295,1.622851332614479,11.555706207725374,7.954416443526295,16.22851332614479
2007,Amphetamines,Accidental,Any mention,All,AUS,25-34,25,2888102,0.8656203970635387,0.560183944376313,1.277826535388435,8.656203970635387,5.60183944376313,12.77826535388435
2008,Amphetamines,Accidental,Any mention,All,AUS,25-34,39,2958352,1.318301540857883,0.9374404746309849,1.8021608490909165,13.18301540857883,9.37440474630985,18.021608490909166
2009,Amphetamines,Accidental,Any mention,All,AUS,25-34,36,3053686,1.178903135423878,0.8256883132299067,1.6320989302916185,11.78903135423878,8.256883132299066,16.320989302916185
2010,Amphetamines,Accidental,Any mention,All,AUS,25-34,28,3125453,0.895870134665279,0.5952991966973514,1.2947827546405821,8.95870134665279,5.9529919669735145,12.947827546405822
2011,Amphetamines,Accidental,Any mention,All,AUS,25-34,37,3194331,1.1583020043946604,0.8155514772225566,1.5965667576358076,11.583020043946604,8.155514772225565,15.965667576358076
2012,Amphetamines,Accidental,Any mention,All,AUS,25-34,37,3290393,1.1244857377219075,0.7917417055615563,1.5499554878355097,11.244857377219075,7.917417055615563,15.499554878355097
2013,Amphetamines,Accidental,Any mention,All,AUS,25-34,51,3388170,1.5052373405112494,1.120748055804107,1.9791089340112158,15.052373405112494,11.20748055804107,19.79108934011216
2014,Amphetamines,Accidental,Any mention,All,AUS,25-34,65,3467570,1.8745115455491885,1.446708199699956,2.3892187427641685,18.745115455491884,14.46708199699956,23.892187427641684
2015,Amphetamines,Accidental,Any mention,All,AUS,25-34,67,3547607,1.8885970176516171,1.4636370031220194,2.3984514461464577,18.88597017651617,14.636370031220194,23.984514461464578
2016,Amphetamines,Accidental,Any mention,All,AUS,25-34,84,3614747,2.323814087126983,1.8535647616175452,2.8770398768382255,23.23814087126983,18.535647616175453,28.770398768382254
1997,Amphetamines,All,Any mention,All,AUS,25-34,15,2863015,0.5239232068291643,0.2932358182583352,0.8641316806321017,5.239232068291643,2.9323581825833522,8.641316806321017
1998,Amphetamines,All,Any mention,All,AUS,25-34,20,2860327,0.6992207534313385,0.4271030129137265,1.0798897433439265,6.992207534313385,4.271030129137265,10.798897433439265
1999,Amphetamines,All,Any mention,All,AUS,25-34,37,2857016,1.2950575005530245,0.9118399637201213,1.785066197559113,12.950575005530245,9.118399637201213,17.85066197559113
2e3,Amphetamines,All,Any mention,All,AUS,25-34,53,2855634,1.8559801431135783,1.390256138448819,2.427667173689869,18.55980143113578,13.902561384488191,24.27667173689869
2001,Amphetamines,All,Any mention,All,AUS,25-34,35,2851409,1.2274633347934303,0.8549732326822944,1.7071045238733331,12.274633347934303,8.549732326822944,17.07104523873333
2002,Amphetamines,All,Any mention,All,AUS,25-34,28,2854494,0.9809094011057652,0.651807171504066,1.417688264483888,9.809094011057653,6.5180717150406595,14.17688264483888
2003,Amphetamines,All,Any mention,All,AUS,25-34,10,2858260,0.3498632034874364,0.16777300130852232,0.6434109709656062,3.4986320348743636,1.6777300130852233,6.434109709656061
2004,Amphetamines,All,Any mention,All,AUS,25-34,24,2852818,0.8412734355994669,0.539019936854951,1.2517481914855706,8.412734355994669,5.39019936854951,12.517481914855706
2005,Amphetamines,All,Any mention,All,AUS,25-34,28,2853071,0.9813986402721839,0.6521322673762158,1.418395351829545,9.81398640272184,6.521322673762158,14.18395351829545
2006,Amphetamines,All,Any mention,All,AUS,25-34,38,2855732,1.3306570784653462,0.9416519440560285,1.826430810515432,13.306570784653463,9.416519440560284,18.26430810515432
2007,Amphetamines,All,Any mention,All,AUS,25-34,29,2888102,1.0041196605937046,0.6724757330888279,1.442082590808919,10.041196605937046,6.724757330888279,14.42082590808919
2008,Amphetamines,All,Any mention,All,AUS,25-34,45,2958352,1.5211171625283266,1.1095132225418327,2.0353744408803918,15.211171625283267,11.095132225418327,20.35374440880392
2009,Amphetamines,All,Any mention,All,AUS,25-34,40,3053686,1.3098923726931977,0.9358063139030565,1.7837015099226927,13.098923726931977,9.358063139030564,17.837015099226928
2010,Amphetamines,All,Any mention,All,AUS,25-34,34,3125453,1.0878423063792673,0.7533624069512287,1.520150876130712,10.878423063792672,7.533624069512287,15.201508761307121
2011,Amphetamines,All,Any mention,All,AUS,25-34,40,3194331,1.2522183831293625,0.8946031702655013,1.7051659108056705,12.522183831293624,8.946031702655013,17.051659108056704
2012,Amphetamines,All,Any mention,All,AUS,25-34,48,3290393,1.458792308395988,1.0755982364654653,1.934146936752159,14.587923083959879,10.755982364654653,19.34146936752159
2013,Amphetamines,All,Any mention,All,AUS,25-34,56,3388170,1.652809628796666,1.2485148392638206,2.1463114083080455,16.52809628796666,12.485148392638205,21.463114083080455
2014,Amphetamines,All,Any mention,All,AUS,25-34,72,3467570,2.076382019685255,1.6246410445255346,2.614859732419332,20.76382019685255,16.246410445255346,26.148597324193318
2015,Amphetamines,All,Any mention,All,AUS,25-34,77,3547607,2.170477169539918,1.7129065764602804,2.7127232330745334,21.70477169539918,17.129065764602803,27.127232330745336
2016,Amphetamines,All,Any mention,All,AUS,25-34,87,3614747,2.406807447381518,1.9277541014759771,2.9687878944968102,24.06807447381518,19.27754101475977,29.6878789449681
1997,Amphetamines,All,Underlying,All,AUS,25-34,1,2863015,0.03492821378861096,8.833193956433913e-4,0.19460754790079904,0.3492821378861096,0.008833193956433914,1.9460754790079904
1998,Amphetamines,All,Underlying,All,AUS,25-34,1,2860327,0.03496103767156692,8.841494974238833e-4,0.1947904308679414,0.3496103767156692,0.008841494974238834,1.9479043086794139
1999,Amphetamines,All,Underlying,All,AUS,25-34,7,2857016,0.24501087848300462,0.09850688737561425,0.504816056004745,2.4501087848300465,0.9850688737561425,5.0481605600474495
2e3,Amphetamines,All,Underlying,All,AUS,25-34,5,2855634,0.17509246633146966,0.0568520217611321,0.4086070543389807,1.7509246633146966,0.568520217611321,4.086070543389807
2001,Amphetamines,All,Underlying,All,AUS,25-34,6,2851409,0.21042228596458806,0.07722115981443525,0.4580008867974942,2.1042228596458807,0.7722115981443525,4.580008867974942
2002,Amphetamines,All,Underlying,All,AUS,25-34,8,2854494,0.28025982888736145,0.12099627539998511,0.552223585028148,2.8025982888736145,1.2099627539998512,5.522235850281479
2003,Amphetamines,All,Underlying,All,AUS,25-34,2,2858260,0.06997264069748728,0.008473814111359283,0.25276542370741195,0.6997264069748728,0.08473814111359282,2.5276542370741195
2004,Amphetamines,All,Underlying,All,AUS,25-34,7,2852818,0.2453714187165112,0.09865184296451014,0.5055589066889135,2.453714187165112,0.9865184296451014,5.055589066889135
2005,Amphetamines,All,Underlying,All,AUS,25-34,14,2853071,0.49069932013609197,0.2682700078636685,0.8233099075851411,4.90699320136092,2.6827000786366852,8.233099075851412
2006,Amphetamines,All,Underlying,All,AUS,25-34,10,2855732,0.3501729153856174,0.16792152019870807,0.6439805422470153,3.501729153856174,1.6792152019870807,6.439805422470153
2007,Amphetamines,All,Underlying,All,AUS,25-34,6,2888102,0.20774889529524926,0.07624007396044842,0.4521820387999995,2.0774889529524927,0.7624007396044842,4.521820387999995
2008,Amphetamines,All,Underlying,All,AUS,25-34,11,2958352,0.3718286397291465,0.18561525045243527,0.6653032010151306,3.7182863972914646,1.8561525045243528,6.653032010151306
2009,Amphetamines,All,Underlying,All,AUS,25-34,6,3053686,0.19648385590397965,0.07210600896271555,0.427662782166325,1.9648385590397965,0.7210600896271555,4.27662782166325
2010,Amphetamines,All,Underlying,All,AUS,25-34,6,3125453,0.19197217171398837,0.07045030275141523,0.4178427417153149,1.9197217171398837,0.7045030275141523,4.178427417153149
2011,Amphetamines,All,Underlying,All,AUS,25-34,8,3194331,0.2504436766258725,0.10812377995630545,0.4934738792320953,2.504436766258725,1.0812377995630547,4.934738792320953
2012,Amphetamines,All,Underlying,All,AUS,25-34,10,3290393,0.30391506424916415,0.14573908305788913,0.5589106960390912,3.0391506424916415,1.4573908305788912,5.589106960390912
2013,Amphetamines,All,Underlying,All,AUS,25-34,15,3388170,0.4427168648562498,0.24778524873630534,0.7301941648810173,4.427168648562498,2.4778524873630534,7.301941648810173
2014,Amphetamines,All,Underlying,All,AUS,25-34,22,3467570,0.6344500615704946,0.39760565901723344,0.9605650313745966,6.344500615704946,3.9760565901723344,9.605650313745965
2015,Amphetamines,All,Underlying,All,AUS,25-34,21,3547607,0.5919483189654322,0.36642605689786506,0.9048558680873735,5.919483189654322,3.6642605689786505,9.048558680873736
2016,Amphetamines,All,Underlying,All,AUS,25-34,21,3614747,0.5809535217817458,0.3596200908205372,0.8880491529885336,5.809535217817458,3.596200908205372,8.880491529885337
